Artist,Song Name,Popularity
"DNCE","Cake By The Ocean","10"
"Family of the Year","Hero","1"
"Drake","One Dance","6"
"Twenty One Pilots","Stressed Out","82"
"Lukas Graham","Mama Said","70"
"Twenty One Pilots","Heathens","80"
"Twenty One Pilots","The Judge","69"
"Family of the Year","Hero","1"
"Jake Bugg","Simple As This","56"
"Drake","Jumpman","74"
"Desiigner","Panda","69"
"George Ezra","Budapest","75"
"Ansel Elgort","Home Alone","51"
"Drake","Too Good","58"
"Twenty One Pilots","Cancer","66"
"The Chainsmokers","Closer","84"
"Lukas Graham","Drunk in the Morning","54"
